Architecture: alexnet
Load dataset: 5.14 s
Compute features
560 / 5005	Time: 0.050 (0.215)
561 / 5005	Time: 0.043 (0.215)
562 / 5005	Time: 0.040 (0.214)
563 / 5005	Time: 0.044 (0.214)
564 / 5005	Time: 0.053 (0.214)
565 / 5005	Time: 0.360 (0.214)
566 / 5005	Time: 1.119 (0.216)
567 / 5005	Time: 0.038 (0.215)
568 / 5005	Time: 0.051 (0.215)
569 / 5005	Time: 0.060 (0.215)
570 / 5005	Time: 0.043 (0.214)
571 / 5005	Time: 0.039 (0.214)
572 / 5005	Time: 0.062 (0.214)
573 / 5005	Time: 0.040 (0.214)
574 / 5005	Time: 0.045 (0.213)
575 / 5005	Time: 0.047 (0.213)
576 / 5005	Time: 0.049 (0.213)
577 / 5005	Time: 0.058 (0.212)
578 / 5005	Time: 0.061 (0.212)
579 / 5005	Time: 0.071 (0.212)
580 / 5005	Time: 0.054 (0.212)
581 / 5005	Time: 0.055 (0.211)
582 / 5005	Time: 0.084 (0.211)
583 / 5005	Time: 0.786 (0.212)
584 / 5005	Time: 1.227 (0.214)
585 / 5005	Time: 0.044 (0.214)
586 / 5005	Time: 0.051 (0.213)
587 / 5005	Time: 0.053 (0.213)
588 / 5005	Time: 0.040 (0.213)
589 / 5005	Time: 0.066 (0.213)
590 / 5005	Time: 0.052 (0.212)
591 / 5005	Time: 0.048 (0.212)
592 / 5005	Time: 0.048 (0.212)
593 / 5005	Time: 0.076 (0.211)
594 / 5005	Time: 0.056 (0.211)
595 / 5005	Time: 0.054 (0.211)
596 / 5005	Time: 0.042 (0.211)
597 / 5005	Time: 0.046 (0.210)
598 / 5005	Time: 0.064 (0.210)
599 / 5005	Time: 0.086 (0.210)
600 / 5005	Time: 0.045 (0.210)
601 / 5005	Time: 0.740 (0.211)
602 / 5005	Time: 1.557 (0.213)
603 / 5005	Time: 0.058 (0.213)
604 / 5005	Time: 0.046 (0.212)
605 / 5005	Time: 0.039 (0.212)
606 / 5005	Time: 0.045 (0.212)
607 / 5005	Time: 0.064 (0.211)
608 / 5005	Time: 0.048 (0.211)
609 / 5005	Time: 0.038 (0.211)
610 / 5005	Time: 0.038 (0.211)
611 / 5005	Time: 0.040 (0.210)
612 / 5005	Time: 0.044 (0.210)
613 / 5005	Time: 0.044 (0.210)
614 / 5005	Time: 0.050 (0.210)
615 / 5005	Time: 0.074 (0.209)
616 / 5005	Time: 0.056 (0.209)
617 / 5005	Time: 0.044 (0.209)
618 / 5005	Time: 0.063 (0.209)
619 / 5005	Time: 0.126 (0.208)
620 / 5005	Time: 1.415 (0.210)
621 / 5005	Time: 0.039 (0.210)
622 / 5005	Time: 0.089 (0.210)
623 / 5005	Time: 0.064 (0.210)
624 / 5005	Time: 0.046 (0.209)
625 / 5005	Time: 0.039 (0.209)
626 / 5005	Time: 0.041 (0.209)
627 / 5005	Time: 0.074 (0.209)
628 / 5005	Time: 0.067 (0.208)
629 / 5005	Time: 0.049 (0.208)
630 / 5005	Time: 0.042 (0.208)
631 / 5005	Time: 0.071 (0.208)
632 / 5005	Time: 0.050 (0.207)
633 / 5005	Time: 0.055 (0.207)
634 / 5005	Time: 0.051 (0.207)
635 / 5005	Time: 0.066 (0.207)
636 / 5005	Time: 0.081 (0.207)
637 / 5005	Time: 0.148 (0.206)
638 / 5005	Time: 1.207 (0.208)
639 / 5005	Time: 0.061 (0.208)
640 / 5005	Time: 0.043 (0.208)
641 / 5005	Time: 0.115 (0.207)
642 / 5005	Time: 0.092 (0.207)
643 / 5005	Time: 0.065 (0.207)
644 / 5005	Time: 0.046 (0.207)
645 / 5005	Time: 0.038 (0.206)
646 / 5005	Time: 0.039 (0.206)
647 / 5005	Time: 0.065 (0.206)
648 / 5005	Time: 0.059 (0.206)
649 / 5005	Time: 0.062 (0.206)
650 / 5005	Time: 0.038 (0.205)
651 / 5005	Time: 0.044 (0.205)
652 / 5005	Time: 0.040 (0.205)
653 / 5005	Time: 0.050 (0.205)
654 / 5005	Time: 0.050 (0.204)
655 / 5005	Time: 0.756 (0.205)
656 / 5005	Time: 1.187 (0.207)
657 / 5005	Time: 0.039 (0.206)
658 / 5005	Time: 0.042 (0.206)
